abbr,state,candidate1,candidate1_avg,candidate2,candidate2_avg,poll_count
AK,Alaska,Mary Peltola,50.5,Dan Sullivan,46.5,4
AR,Arkansas,Hallie Shoffner,43.0,Tom Cotton,46.0,1
GA,Georgia,Jon Ossoff,50.0,Mike Collins,43.0,1
IA,Iowa,Josh Turek,44.7,Ashley Hinson,45.0,6
ID,Idaho,Todd Achilles,34.0,Jim Risch,33.5,2
KS,Kansas,Adam Hamilton,45.0,Roger Marshall,46.0,1
MA,Massachusetts,Ed Markey,50.0,John Deaton,30.0,2
ME,Maine,Troy Jackson,47.7,Susan Collins,44.2,9
MI,Michigan,Abdul El-Sayed,45.4,Mike Rogers,44.5,15
MN,Minnesota,Peggy Flanagan,45.0,Michele Tafoya,41.5,2
MT,Montana,Seth Bodnar,48.0,Kurt Alme,45.0,2
NC,North Carolina,Roy Cooper,50.4,Michael Whatley,40.7,9
NH,New Hampshire,Chris Pappas,42.3,John E. Sununu,41.0,3
NM,New Mexico,Ben Ray Luján,53.0,Larry Marker,38.0,2
OH,Ohio,Sherrod Brown,47.8,Jon Husted,41.4,5
RI,Rhode Island,Jack Reed,51.0,Raymond McKay,31.0,1
SC,South Carolina,Annie Andrews,37.7,Darline Graham,42.0,3
TN,Tennessee,Marquita Bradshaw,32.3,Bill Hagerty,55.7,3
TX,Texas,James Talarico,47.8,Ken Paxton,44.9,12
